PropertySize,LandValue,LivingArea,Age,Rooms,Bedrooms,Bathrooms,Fireplaces,HeatingSystem,HeatingFuel,SewerSystem,HasCentralAC,AtWaterfront,NeighborhoodHigherEdPct,Price
1093,39385,178,34,5,3,1.0,1,air,gas,public,Yes,No,62,129115
1619,179231,279,1,11,4,2.5,1,air,gas,public,Yes,No,61,296846
7810,101154,355,16,12,3,4.0,2,air,gas,septic,Yes,No,63,241258
728,2385,134,71,8,3,1.5,0,air,gas,public,No,No,36,111538
1295,26923,186,21,7,3,1.5,0,air,gas,public,Yes,No,63,143846
3521,71769,188,19,10,4,2.0,0,air,oil,public,No,No,57,115308
1052,7000,231,7,8,4,2.5,1,air,gas,public,Yes,No,61,247692
3844,60000,221,9,6,3,2.5,1,air,gas,septic,No,No,82,226923
647,42231,80,35,6,2,1.0,0,air,gas,public,Yes,No,62,133846
607,41538,119,103,3,2,1.0,1,water/steam,gas,public,No,No,57,78277
1093,60154,205,2,10,3,2.5,1,air,gas,public,Yes,No,57,282692
364,4538,148,90,3,2,2.0,0,air,gas,public,No,No,40,153846
1942,15077,87,30,7,3,1.0,1,water/steam,gas,public,No,No,52,117308
2347,13385,293,0,10,4,3.5,1,air,gas,public,Yes,No,63,342308
486,83308,143,4,8,3,2.5,0,air,gas,public,Yes,No,57,230769
1862,4231,82,43,4,3,1.0,0,air,gas,septic,No,No,38,66154
607,12077,84,20,7,2,1.0,0,electric,electricity,public,No,No,54,83846
3197,13769,148,17,8,3,2.0,1,air,oil,septic,Yes,No,57,155769
1335,27308,166,18,7,3,2.5,1,air,gas,public,Yes,No,63,161538
2185,23231,153,19,4,3,2.0,1,air,gas,public,Yes,No,61,244231
890,2615,137,17,4,3,1.5,0,air,gas,public,No,No,54,90769
3844,37846,290,2,12,4,2.5,0,air,oil,septic,Yes,No,54,270769
688,12154,85,18,3,2,2.0,0,electric,electricity,public,No,No,52,77692
4371,16231,245,15,8,4,2.5,3,air,gas,septic,Yes,No,40,312308
607,41538,152,0,7,3,2.5,1,air,gas,public,Yes,No,57,153951
688,12154,85,19,3,2,1.5,0,air,gas,public,No,No,52,83769
1133,62154,212,29,6,3,1.5,1,air,gas,public,Yes,No,57,169231
2469,12385,231,21,11,4,2.5,1,air,gas,septic,Yes,No,62,211538
5666,57538,318,2,12,4,4.0,1,air,gas,public,Yes,No,62,361462
4047,11923,74,98,3,2,1.0,0,air,oil,septic,No,No,52,95385
850,2692,86,54,7,2,1.0,0,air,gas,public,No,No,38,80535
